Existing Client URL,Map ID,Content Phase,Content Category,Content Type,Content Role,Page Title Structure,Target Seed Keyword,Idealized URL,Gap Status,Notes,Keyword Intent
,23,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Legal Separation Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/divorce/legal-separation/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/how-are-legal-separation-and-divorce-different/; https://www.azfamilylawattorneys.com/what-is-the-legal-separation-process-in-arizona/; https://www.azfamilylawattorneys.com/legal-separation-versus-divorce-which-is-best-for-me-and-my-relationship/,Service
https://www.azfamilylawattorneys.com/divorce-mediation/,24,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Divorce Mediation Lawyers | Arizona Family Law Attorneys,Divorce Mediation Attorneys in Arizona,https://www.azfamilylawattorneys.com/divorce/divorce-mediation/,MAPPED,Service-intent match on topic,Service
,25,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Collaborative Divorce Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/divorce/collaborative-divorce/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/divorce/) but should not be used to satisfy this row.,Service
,26,Phase 2,Procedural,Procedural,Service Cluster,Phoenix Temporary Guardianship Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/guardianship/temporary-guardianship/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/guardianship/) but should not be used to satisfy this row.,Service
,27,Phase 3,Situational,Situational,Service Cluster,Phoenix High-Conflict Divorce Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/divorce/high-conflict-divorce/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/divorce/) but should not be used to satisfy this row.,Service
,28,Phase 3,Situational,Situational,Service Cluster,Phoenix Relocation / Move-Away Custody Disputes Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/child-custody/relocation-move-away-custody-disputes/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/how-does-arizona-address-parental-relocation-and-its-impact-on-child-custody-arrangements/,Service
,29,Phase 3,Situational,Situational,Service Cluster,Phoenix Divorce Involving Business Ownership Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/divorce/divorce-involving-business-ownership/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/divorce/) but should not be used to satisfy this row.,Service
,30,Phase 3,Situational,Situational,Service Cluster,Phoenix High-Conflict Custody Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/child-custody/high-conflict-custody/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/child-custody/) but should not be used to satisfy this row.,Service
,31,Phase 3,Situational,Situational,Service Cluster,Phoenix Child Support Disputes After Income Changes Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/child-support/child-support-disputes-after-income-changes/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/how-is-child-support-calculated-for-active-duty-military-parents/; https://www.azfamilylawattorneys.com/how-child-support-adjustments-are-made-for-parents-with-variable-income/; https://www.azfamilylawattorneys.com/how-to-get-child-support-arrears-dismissed/...,Service
,32,Phase 3,Situational,Situational,Service Cluster,Phoenix Back Child Support / Arrears Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/child-support/back-child-support-arrears/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/how-is-child-support-calculated-for-active-duty-military-parents/; https://www.azfamilylawattorneys.com/how-child-support-adjustments-are-made-for-parents-with-variable-income/; https://www.azfamilylawattorneys.com/how-to-get-child-support-arrears-dismissed/...,Service
,33,Phase 3,Situational,Situational,Service Cluster,Phoenix Long-Term Marriage Divorce Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/divorce/long-term-marriage-divorce/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/divorce/) but should not be used to satisfy this row.,Service
,34,Phase 3,Situational,Situational,Service Cluster,Phoenix Business Valuation and Division Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/property-division/business-valuation-and-division/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/special-circumstances-in-property-division-for-military-divorces-involving-multiple-deployments/; https://www.azfamilylawattorneys.com/how-does-arizonas-community-property-law-impact-asset-division-during-a-divorce/,Service
,35,Phase 3,Situational,Situational,Service Cluster,Phoenix Emergency Guardianship Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/guardianship/emergency-guardianship/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/guardianship/) but should not be used to satisfy this row.,Service
,36,Phase 3,Situational,Situational,Service Cluster,Phoenix Parenting Time Disputes Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/child-custody/parenting-time-disputes/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/how-do-family-courts-handle-modifications-to-parenting-time-arrangements/; https://www.azfamilylawattorneys.com/effective-legal-strategies-for-enforcing-visitation-rights-across-state-lines/; https://www.azfamilylawattorneys.com/can-dependency-court-order-supervised-visitation-for-an-az-parent/...,Service
,37,Phase 3,Situational,Situational,Service Cluster,Phoenix High-Income Spousal Support Disputes Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/divorce/high-income-spousal-support-disputes/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/spousal-maintenance-in-arizona-determining-eligibility-and-amount/; https://www.azfamilylawattorneys.com/addressing-financial-discrepancies-in-arizona-alimony-and-spousal-support-cases/; https://www.azfamilylawattorneys.com/how-is-alimony-determined/,Service
,38,Phase 3,Situational,Situational,Service Cluster,Phoenix Self-Employed or Variable Income Support Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/divorce/self-employed-or-variable-income-support/,GAP,No dedicated service page detected. Parent hub exists (https://www.azfamilylawattorneys.com/divorce/) but should not be used to satisfy this row.,Service
,39,Phase 3,Situational,Situational,Service Cluster,Phoenix Supervised Visitation Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/child-custody/supervised-visitation/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/can-dependency-court-order-supervised-visitation-for-an-az-parent/,Service
,40,Phase 3,Situational,Situational,Service Cluster,Phoenix Hidden Assets and Financial Misconduct Lawyers | Arizona Family Law Attorneys,#N/A,https://www.azfamilylawattorneys.com/property-division/hidden-assets-and-financial-misconduct/,GAP,No dedicated service page. Related coverage appears as BLOG content: https://www.azfamilylawattorneys.com/role-of-forensic-accounting-in-uncovering-hidden-assets-during-divorce-proceedings/,Service
https://www.azfamilylawattorneys.com/adoption/,,,,,,,Adoption Attorneys in Arizona,,MAPPED,"subservice page, outside family law template",Service
https://www.azfamilylawattorneys.com/fathers-rights/,,,,,,,Fathers’ Rights Attorneys in Arizona,,MAPPED,"subservice page, outside family law template",Service
https://www.azfamilylawattorneys.com/divorce/military-divorce/,,,,,,,Military Divorce Attorneys in Arizona,,MAPPED,"divorce subservice page, outside family law template",Service
