Map ID,Content Phase,Content Category,Content Type,Content Role,Page Title Structure,Idealized URL,Target Seed Keyword,Existing Client URL,Next Step,Gap Status,Notes,Keyword Intent,AI Overview,MSV,Current Meta Title,Title Length,NEW Meta Title,Title Status,Current Meta Description,Desc Length,NEW Meta Description,Desc Status,Current H1,NEW H1,H1 Status,First 100 Words,Keyword in First 100,Body Optimization Rec,CTA Above Fold
16,Phase 02,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney Lolita K. Beyah,.com/georgia/attorneys/lolita-beyah/,attorney Lolita K. Beyah,https://tdefamilylaw.com/atlanta-attorneys/lolita-k-beyah/,"Fundamentals, Content Optimizations",MAPPED,Attorney bio exists,,,,Lolita K. Beyah | Atlanta Family Law Attorney | Mentoring Attorney,66,Lolita K. Beyah | Atlanta Family Law Attorney | Mentoring Attorney,Needs Update,"Discover Lolita K. Beyah, Mentoring Attorney at TDE Family Law & Divorce Attorneys. With 27 years of experience, she leads Atlanta families through divorce and custody cases with compassion.",190,"Discover Lolita K. Beyah, Mentoring Attorney at TDE Family Law & Divorce Attorneys. With 27 years of experience, she leads Atlanta families through divorce and custody cases with compassion.",Needs Update,Lolita K. Beyah – Senior Mentoring Attorney,Lolita K. Beyah – Senior Mentoring Attorney,Needs Update,"LOLITA K. BEYAH Senior Mentoring Attorney Lolita K. Beyah – Senior Mentoring Attorney TDE Family Law & Divorce Attorneys Lolita K. Beyah, our Senior M entoring Attorney with 27 years of legal expertise, stands as a pillar in family law. Her academic journey includes earning a Bachelor of Science in Biology from Seton Hall University and a Juris Doctorate from John Marshall Law School. Beyond the courtroom, Attorney Beyah actively engages in community service, pro bono endeavors, and volunteering, all earning her recognition as a Super Lawyer for the past two consecutive years. Lolita’s legal philosophy centers on a commitment",✅ Yes,Good - keyword present in opening,✅ Yes
17,Phase 02,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney John Evans,.com/georgia/attorneys/john-evans/,attorney John Evans,https://tdefamilylaw.com/atlanta-attorneys/john-evans/,"Fundamentals, Content Optimizations",MAPPED,Attorney bio exists,,,0.0,John Evans | Atlanta Family Law Attorney | Divorce & Legitimation,65,John Evans | Atlanta Family Law Attorney | Divorce & Legitimation,Needs Update,"Learn about John Evans, a compassionate family law attorney in Atlanta. With a strategic approach to divorce and legitimation, John delivers results with integrity.",164,"Learn about John Evans, a compassionate family law attorney in Atlanta. With a strategic approach to divorce and legitimation, John delivers results with integrity.",Needs Update,John Evans – Senior Attorney,John Evans – Senior Attorney,Needs Update,"JOHN EVANS SENIOR Attorney John Evans – Senior Attorney TDE Family Law & Divorce Attorneys John Evans is a dedicated Senior Attorney with over seven years of experience helping clients navigate the complexities of divorce, legitimation, modifications, and contempt cases. Originally from Atlanta, John honed his advocacy skills at Erskine College, earning a B.A. in Political Science, and at Georgia State University College of Law, where he received the “Excellence in Advocacy” award for his mock trial achievements. John’s passion for justice and helping families drives his commitment to achieving positive outcomes while understanding the emotional challenges of family law",✅ Yes,Good - keyword present in opening,✅ Yes
18,Phase 02,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney Barry Eidex,.com/georgia/attorneys/barry-eidex/,attorney Barry Eidex,https://tdefamilylaw.com/atlanta-attorneys/barry-eidex/,"Fundamentals, Content Optimizations",MAPPED,Attorney bio exists,,,,Barry Eidex | Atlanta Family Law Attorney | TDE Family Law,58,Barry Eidex | Atlanta Family Law Attorney | TDE Family Law,Needs Update,"Get to know Barry Eidex, Associate Attorney at TDE Family Law & Divorce Attorneys. He brings integrity and passion to every family law case in Atlanta.",151,"Get to know Barry Eidex, Associate Attorney at TDE Family Law & Divorce Attorneys. He brings integrity and passion to every family law case in Atlanta.",Needs Update,Barry Eidex – Senior Attorney,Barry Eidex – Senior Attorney,Needs Update,"BARRY EIDEX Senior Attorney Barry Eidex – Senior Attorney TDE Family Law & Divorce Attorneys Barry Eidex is an accomplished family law attorney and Certified Public Accountant, offering clients a rare combination of legal skill, financial acumen, and genuine compassion. With decades of experience in litigation and negotiation, Barry has successfully represented clients in divorce, custody disputes, child support matters, modifications, and complex property division cases. A native of Atlanta, Barry graduated from Georgia State University College of Law in 1989, then went on to earn a Master’s in Taxation and become a CPA. This unique combination of credentials allows",✅ Yes,Good - keyword present in opening,✅ Yes
19,Phase 02,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney McCoy G. Martinez,.com/georgia/attorneys/mccoy-martinez/,attorney McCoy G. Martinez,https://tdefamilylaw.com/atlanta-attorneys/mccoy-g-martinez/,"Fundamentals, Content Optimizations",MAPPED,Attorney bio exists,,,,McCoy G. Martinez | Atlanta Family Lawyer | Civil & Family Litigation,69,McCoy G. Martinez | Atlanta Family Lawyer | Civil & Family Litigation,Needs Update,"Explore McCoy Martinez’s profile—an experienced Atlanta attorney in family law and civil litigation with a client-centered, ethical approach.",141,"Explore McCoy Martinez’s profile—an experienced Atlanta attorney in family law and civil litigation with a client-centered, ethical approach.",Needs Update,McCoy G. Martinez – Associate Attorney,McCoy G. Martinez – Associate Attorney,Needs Update,"McCoy G. Martinez Associate Attorney McCoy G. Martinez – Associate Attorney TDE Family Law & Divorce Attorneys McCoy G. Martinez is a dedicated Associate Attorney with five years of experience in family law and civil litigation. A graduate of the University of New Mexico and Atlanta’s John Marshall School of Law, McCoy brings a strong foundation in legal research, courtroom advocacy, and strategic case management. McCoy follows a client-centered approach grounded in active listening, clear communication, and collaborative problem-solving. He is committed to advocating zealously for his clients while upholding the highest ethical standards—handling every matter with honesty, integrity, and",✅ Yes,Good - keyword present in opening,✅ Yes
20,Phase 02,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney Vernon Foley,.com/georgia/attorneys/vernon-foley/,attorney Vernon Foley,https://tdefamilylaw.com/atlanta-attorneys/vernon-foley/,"Fundamentals, Content Optimizations",MAPPED,Attorney bio exists,,,,Vernon Foley | Atlanta Family Law Attorney | TDE Family Law,59,Vernon Foley | Atlanta Family Law Attorney | TDE Family Law,Needs Update,"Get to know Vernon Foley, Associate Attorney at TDE Family Law & Divorce Attorneys. He brings integrity and passion to every family law case in Atlanta.",152,"Get to know Vernon Foley, Associate Attorney at TDE Family Law & Divorce Attorneys. He brings integrity and passion to every family law case in Atlanta.",Needs Update,Vernon Foley – Associate Family Law Attorney in Atlanta,Vernon Foley – Associate Family Law Attorney in Atlanta,Needs Update,"VERNON FOLEY Associate Attorney Vernon Foley – Associate Family Law Attorney in Atlanta Vernon Foley is a dedicated Associate Attorney with a passion for achieving the best results for his clients. A graduate of Southern University A&M College and Southern University Law Center, Vernon brings fresh perspectives and a commitment to excellence in every case he handles. Vernon applies his legal expertise with a focus on setting high standards and ensuring his clients’ needs are met with integrity. Outside of his legal work, he volunteers with youth programs to aid and inspire the next generation. Vernon enjoys sports, cooking, and",✅ Yes,Good - keyword present in opening,✅ Yes
51,Phase 09,Supporting Content,Property Division Supporting Content,Situational Content,High-Net-Worth Divorces in Georgia,.com/georgia/property-division/high-net-worth/,high net worth divorce Georgia,https://tdefamilylaw.com/family-law/high-asset-divorce/,"Fundamentals, Content Optimizations",MAPPED,High-asset divorce page exists,Commercial,Yes,,High-Asset Divorce - TDE Family Law,35,High-Asset Divorce - TDE Family Law,Needs Update,Expert legal counsel for high-asset divorces in Georgia. Learn how equitable distribution laws play a crucial role in the complex division of substantial financial investments and valuable assets.,196,Expert legal counsel for high-asset divorces in Georgia. Learn how equitable distribution laws play a crucial role in the complex division of substantial financial investments and valuable assets.,Needs Update,High-Asset Divorce & Georgia’s Equitable Distribution Laws,High-Asset Divorce & Georgia’s Equitable Distribution Laws,Needs Update,"High-Asset Divorce & Georgia’s Equitable Distribution Laws At TDE Family Law & Divorce Attorneys, we understand the complexities that arise in high-asset divorces. A crucial factor to consider is Georgia’s equitable distribution laws. Unlike community property states, where assets are divided 50/50, Georgia operates under an equitable distribution system, meaning assets are divided “fairly” but not necessarily equally. High-Asset Divorce and Asset Division Divorce is inherently challenging and can be even more complicated when significant assets are involved. High asset divorce, which often concerns high net worth individuals, entails not only the dissolution of a marriage but also the complex",✅ Yes,Good - keyword present in opening,✅ Yes
53,Phase 04,Supporting Content,Paternity Supporting Content,Legal Description Content,Fathers Rights in Georgia,.com/georgia/paternity/fathers-rights/,fathers rights in Georgia,https://tdefamilylaw.com/family-law/fathers-rights-lawyer/,"Fundamentals, Content Optimizations",MAPPED,Page exists,Commercial,Yes,110.0,Father’s Rights Lawyer - TDE Family Law,39,Father’s Rights Lawyer - TDE Family Law,Needs Update,Need a father's rights lawyer in Georgia? Our experienced family law attorney can help you navigate the legal rules to protect your rights during divorce or custody disputes.,174,Need a father's rights lawyer in Georgia? Our experienced family law attorney can help you navigate the legal rules to protect your rights during divorce or custody disputes.,Needs Update,Fathers’ Rights Lawyer in Atlanta,Fathers’ Rights Lawyer in Atlanta,Needs Update,"Fathers’ Rights Lawyer in Atlanta Whether you are trying to establish your rights as a father or want to protect those rights in divorce, you need to work within the legal rules that apply to family law matters in Georgia. For that reason, assistance from an experienced family law attorney can make it easier to achieve your goals. At TDE Family Law & Divorce Attorneys, we understand the importance of the parent-child relationship and are prepared to use every available means to protect and preserve that relationship. Protecting Your Role in Your Child’s Life For fathers facing divorce, the process",✅ Yes,Good - keyword present in opening,✅ Yes
57,Phase 02,Brand Content,Brand Supporting Content,Review Hub Page,Reviews | TDE Law,.com/georgia/reviews/,TDE Law reviews,https://tdefamilylaw.com/review/,"Fundamentals, Content Optimizations",MAPPED,Review page exists,Purchase,No,,Review Request - TDE Family Law,31,Client Reviews | TDE Family Law,Needs Update,Would you recommend us? Leave a review and let others know about your experience. Your feedback matters.,104,See what clients say about TDE Family Law. Read reviews from satisfied families we've helped across Georgia.,Needs Update,Review TDE Family Law & Divorce Attorneys,Client Reviews,Needs Update,"Review TDE Family Law & Divorce Attorneys Thank you for coming to leave a review. Your feedback not only helps us, but it also helps other potential clients. Would you recommend us to your friends and family?",❌ No,Add 'TDE Law reviews' to the first 100 words,✅ Yes
58,Phase 02,Brand Content,Brand Supporting Content,Blog Hub Page,Family Law Blog | TDE Law,.com/georgia/blog/,TDE Law family law blog,https://tdefamilylaw.com/blog/,Fundamentals,MAPPED,Blog exists with multiple pages,Research,No,,Blog - TDE Family Law,21,Family Law Blog | TDE Family Law,Needs Update,Keep up to date with the latest developments in family law brought to you by TDE Family Law & Divorce Attorneys P.C.,116,"Stay informed with TDE Family Law's blog. Legal insights on divorce, custody, and family law in Georgia.",Needs Update,Blog,TDE Family Law Blog,Needs Update,"Blog Gwinnett Divorce Attorneys: From Filing to Final Decree Divorce is one of life's most challenging transitions, and navigating the legal complexities while protecting your... read more How to Get a Prenup in Georgia That Protects Your Rights Protecting your assets before marriage is a sign of wise planning, not an act of distrust. A prenuptial agreement... read more Georgia Supreme Court Raises Concerns Over Equitable Caregiver Law Child custody disputes are among the most emotionally charged and legally complex issues in family law. In Georgia, a... read more Celebrity Divorces of 2024 & What We Can Learn From Them",⚠️ Partial,Consider adding full phrase 'TDE Law family law blog' to opening paragraph,✅ Yes
60,Phase 02,Brand Content,Brand Supporting Content,Privacy Policy,Privacy Policy,.com/privacy-policy/,TDE Law privacy policy,https://tdefamilylaw.com/privacy-policy/,Fundamentals,MAPPED,Privacy policy exists,,,,Privacy Policy - TDE Family Law,31,Privacy Policy | TDE Family Law,Needs Update,"Read TDE Family Law’s privacy policy to understand what data we collect, how we use cookies, and your choices for accessing, updating, or opting out of data.",157,TDE Family Law privacy policy. Learn how we protect your personal information and legal communications.,Needs Update,Privacy Policy,Privacy Policy,Needs Update,"Privacy Policy Effective date: January 27, 2020 TDE Family Law & Divorce Attorneys (“us”, “we”, or “our”) operates the tessiededwards.com website (hereinafter referred to as the “Service”). This page informs you of our policies regarding the collection, use and disclosure of personal data when you use our Service and the choices you have associated with that data. We use your data to provide and improve the Service. By using the Service, you agree to the collection and use of information in accordance with this policy. Unless otherwise defined in this Privacy Policy, the terms used in this Privacy Policy have",✅ Yes,Good - keyword present in opening,✅ Yes
61,Phase 02,Brand Content,Brand Supporting Content,Testimonials,Testimonials,.com/testimonials/,TDE Law testimonials,https://tdefamilylaw.com/testimonials/,"Fundamentals, Content Optimizations",MAPPED,Testimonials page exists,,,,Testimonials - TDE Family Law,29,Client Testimonials | TDE Family Law,Needs Update,Find out what customers are saying about our firm. Read testimonials from satisfied clients and discover the incredible results they've achieved.,145,Read testimonials from real clients of TDE Family Law. Families share their experiences with our Atlanta attorneys.,Needs Update,Testimonials,Client Testimonials,Needs Update,Testimonials Ray J. Testimonial Stephanie B. Testimonial Steven M. Testimonial,❌ No,Add 'TDE Law testimonials' to the first 100 words,✅ Yes
