Cluster,Subcluster,Qualifier,Seed Keyword,Keyword,Intent,Funnel Stage,Search Volume,Keyword Difficulty,CPC,SERP Features,Source,Current Position,Ranking URL,GSC Impressions,GSC Clicks,GSC Position,Notes
Application Management,Application Management,,application management software,application management solution,commercial,MOFU,50.0,25.0,0.0,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",Expansion;GSC;SEMrush,8.0,https://omnipress.com/application-management/,1607.0,0.0,27.48,GSC high impressions page2+
Application Management,Application Management,,application management software,catalyst application,"informational, transactional",BOFU,50.0,34.0,20.42,"Image pack, Video, Video Carousel, People also ask, Related searches",GSC;SEMrush,7.0,https://omnipress.com/application-management/,136.0,0.0,17.54,
Application Management,Application Management,system + online,application management software,online application management system,informational,TOFU,50.0,32.0,0.0,"Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",Expansion;GSC;SEMrush,2.0,https://omnipress.com/application-management/,1976.0,0.0,8.86,
Application Management,Application Management,software,application management software,application review software,commercial,MOFU,40.0,58.0,0.0,"Sitelinks, Video, Related searches, Discussions and forums",GSC;SEMrush,10.0,https://omnipress.com/application-management/,676.0,1.0,17.97,GSC high impressions page2+
Application Management,Application Management,online,application management software,online application systems,"commercial, informational",MOFU,30.0,36.0,10.12,"Sitelinks, Video, People also ask, Related searches, AI overview",GSC;SEMrush,4.0,https://omnipress.com/application-management/,207.0,0.0,14.31,
Application Management,Application Management,,application management software,application for management,informational,TOFU,30.0,27.0,7.16,"Sitelinks, Video, Ads bottom, Related searches, AI overview",SEMrush,90.0,https://omnipress.com/application-management/,,,,
Application Management,Application Management,,application management software,application management,commercial,MOFU,,,,,Expansion;GSC;Nav,,,7288.0,0.0,31.81,GSC high impressions page2+; Needs metric pull
Application Management,Application Management,,application management software,application management solutions,commercial,MOFU,,,,,Expansion;GSC,,,2555.0,0.0,76.66,GSC high impressions page2+; Needs metric pull
Application Management,Application Management,app,application management software,application management/app management,commercial,MOFU,,,,,GSC,,,1149.0,0.0,61.88,GSC high impressions page2+; Needs metric pull
Application Management,Application Management,software,application management software,fellowship application management software,commercial,MOFU,,,,,GSC,,,614.0,0.0,19.67,Needs metric pull
Application Management,Application Management,software + online,application management software,online application management software,commercial,MOFU,,,,,Expansion;GSC,,,470.0,0.0,4.34,Needs metric pull
Application Management,Application Management,software,application management software,software application management,commercial,MOFU,,,,,GSC,,,350.0,0.0,29.51,Needs metric pull
Application Management,Application Management,software,application management software,custom application management software,commercial,MOFU,,,,,GSC,,,270.0,0.0,12.8,Needs metric pull
Application Management,Application Management,,application management software,net application management,commercial,MOFU,,,,,GSC,,,204.0,0.0,54.66,Needs metric pull
Application Management,Application Management,services,application management software,application management service,commercial,MOFU,,,,,GSC,,,200.0,0.0,74.39,Needs metric pull
Application Management,Application Management,tool,application management software,application management tool,commercial,MOFU,,,,,GSC,,,174.0,0.0,42.86,Needs metric pull
Application Management,Application Management,software + system,application management software,online application system software,commercial,MOFU,,,,,GSC,,,172.0,0.0,7.3,Needs metric pull
Application Management,Application Management,online,application management software,online application management,commercial,MOFU,,,,,Expansion;GSC,,,162.0,1.0,34.84,Needs metric pull
Application Management,Application Management,digital,application management software,digital application management,commercial,MOFU,,,,,GSC,,,150.0,0.0,32.15,Needs metric pull
Application Management,Application Management,,application management software,.net application management,commercial,MOFU,,,,,GSC,,,123.0,0.0,45.24,Needs metric pull
Application Management,Application Management,,application management software,application management and support,commercial,MOFU,,,,,GSC,,,93.0,0.0,82.88,Needs metric pull
Application Management,Application Management,platform + online,application management software,online application platform,commercial,MOFU,,,,,GSC,,,30.0,1.0,9.07,Needs metric pull
Application Management,Awards Management,,awards management software,www.selectaward.com,navigational,BOFU,320.0,30.0,4.0,"Sitelinks, Video",SEMrush,63.0,https://omnipress.com/application-management/awards-management/,,,,
Application Management,Awards Management,software,awards management software,awards management software,informational,TOFU,260.0,22.0,11.96,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",Expansion;GSC;SEMrush,38.0,https://omnipress.com/application-management/awards-management/,5486.0,1.0,30.07,GSC high impressions page2+
Application Management,Awards Management,software,awards management software,award management software,"commercial, informational",MOFU,170.0,16.0,15.71,"Sitelinks, Video, People also ask, Related searches, AI overview",Expansion;GSC;SEMrush,88.0,https://omnipress.com/application-management/awards-management/,3383.0,1.0,44.01,GSC high impressions page2+
Application Management,Awards Management,system,awards management software,awards management system,commercial,MOFU,90.0,22.0,4.99,"Sitelinks, Video, Ads bottom, People also ask, Related searches",Expansion;GSC;SEMrush,12.0,https://omnipress.com/application-management/awards-management/,1063.0,0.0,46.53,GSC high impressions page2+
Application Management,Awards Management,,awards management software,awards management,informational,TOFU,70.0,15.0,5.08,"Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",Expansion;GSC;Nav;SEMrush,25.0,https://omnipress.com/application-management/awards-management/,1702.0,0.0,62.57,GSC high impressions page2+
Application Management,Awards Management,software,awards management software,free awards management software,commercial,MOFU,40.0,13.0,4.81,"Video, Ads bottom, Related searches",GSC;SEMrush,7.0,https://omnipress.com/application-management/awards-management/,801.0,0.0,37.42,GSC high impressions page2+
Application Management,Awards Management,software,awards management software,best awards management software,commercial,MOFU,40.0,10.0,0.0,"Video, People also ask, Related searches",Expansion;GSC;SEMrush,97.0,https://omnipress.com/application-management/awards-management/,214.0,0.0,73.63,
Application Management,Awards Management,software,awards management software,best software for handling multiple award entries and judging criteria,commercial,MOFU,40.0,0.0,0.0,"Video, Ads bottom, People also ask, Related searches, AI overview",SEMrush,65.0,https://omnipress.com/application-management/awards-management/,,,,
Application Management,Awards Management,platform,awards management software,awards management platform,commercial,MOFU,,,,,Expansion;GSC,,,880.0,0.0,44.2,GSC high impressions page2+; Needs metric pull
Application Management,Awards Management,online,awards management software,online awards management,commercial,MOFU,,,,,Expansion;GSC,,,729.0,0.0,32.87,GSC high impressions page2+; Needs metric pull
Application Management,Awards Management,,awards management software,best awards management,informational,TOFU,,,,,Expansion,,,,,,Needs metric pull
Application Management,Awards Management,software,awards management software,awards judging software,commercial,MOFU,,,,,GSC,,,547.0,0.0,32.03,Needs metric pull
Application Management,Awards Management,,awards management software,awards management systems,commercial,MOFU,,,,,GSC,,,523.0,0.0,41.56,Needs metric pull
Application Management,Awards Management,software,awards management software,award judging software,commercial,MOFU,,,,,GSC,,,407.0,0.0,31.26,Needs metric pull
Application Management,Awards Management,software + online,awards management software,online awards software,commercial,MOFU,,,,,GSC,,,323.0,0.0,19.54,Needs metric pull
Application Management,Awards Management,,awards management software,automated awards submissions,commercial,MOFU,,,,,GSC,,,267.0,0.0,8.25,Needs metric pull
Application Management,Awards Management,software + online,awards management software,online award software,commercial,MOFU,,,,,GSC,,,214.0,0.0,28.17,Needs metric pull
Application Management,Awards Management,platform,awards management software,award management platform,commercial,MOFU,,,,,GSC,,,183.0,0.0,52.13,Needs metric pull
Application Management,Awards Management,software,awards management software,awards software,commercial,MOFU,,,,,GSC,,,160.0,0.0,40.06,Needs metric pull
Application Management,Awards Management,tool,awards management software,awards management tool,commercial,MOFU,,,,,GSC,,,159.0,0.0,22.34,Needs metric pull
Application Management,Awards Management,software,awards management software,award nomination software,commercial,MOFU,,,,,GSC,,,156.0,0.0,9.12,Needs metric pull
Application Management,Awards Management,software,awards management software,awards case management software,commercial,MOFU,,,,,GSC,,,138.0,0.0,69.0,Needs metric pull
Application Management,Awards Management,,awards management software,what platforms handle multi-round judging for awards?,commercial,MOFU,,,,,GSC,,,136.0,0.0,7.93,Needs metric pull
Application Management,Awards Management,system + online,awards management software,online awards system,commercial,MOFU,,,,,GSC,,,125.0,0.0,14.27,Needs metric pull
Application Management,Awards Management,,awards management software,awards manager,commercial,MOFU,,,,,GSC,,,22.0,1.0,5.64,Needs metric pull
Application Management,Grants Management,,grants management software,grants management dashboard,informational,TOFU,90.0,25.0,11.92,"Video, Video Carousel, Related searches, AI overview",GSC;SEMrush,12.0,https://omnipress.com/application-management/grants-management/,1486.0,0.0,21.41,GSC high impressions page2+
Application Management,Grants Management,,grants management software,grant application management,informational,TOFU,50.0,61.0,0.0,"Sitelinks, Video, Video Carousel, Related searches, AI overview",GSC;SEMrush,28.0,https://omnipress.com/application-management/grants-management/,812.0,0.0,48.65,GSC high impressions page2+
Application Management,Grants Management,software + system,grants management software,grants management system software,"commercial, informational",MOFU,30.0,38.0,34.5,"Sitelinks, Video, Video Carousel, Related searches, AI overview",GSC;SEMrush,85.0,https://omnipress.com/application-management/grants-management/,256.0,0.0,71.09,
Application Management,Grants Management,software,grants management software,grant application management software,commercial,MOFU,,,,,GSC,,,1676.0,0.0,66.31,GSC high impressions page2+; Needs metric pull
Application Management,Grants Management,software,grants management software,grants manager software,commercial,MOFU,,,,,GSC,,,1173.0,0.0,63.3,GSC high impressions page2+; Needs metric pull
Application Management,Grants Management,platform,grants management software,grant management platform,commercial,MOFU,,,,,Expansion;GSC,,,1164.0,0.0,79.46,GSC high impressions page2+; Needs metric pull
Application Management,Grants Management,software,grants management software,grant manager software,commercial,MOFU,,,,,GSC,,,994.0,0.0,79.91,GSC high impressions page2+; Needs metric pull
Application Management,Grants Management,software,grants management software,grant submission software,commercial,MOFU,,,,,GSC,,,941.0,0.0,59.33,GSC high impressions page2+; Needs metric pull
Application Management,Grants Management,system + online,grants management software,online grant management system,commercial,MOFU,,,,,Expansion;GSC,,,859.0,0.0,73.68,GSC high impressions page2+; Needs metric pull
Application Management,Grants Management,software + online,grants management software,online grant application software,commercial,MOFU,,,,,Expansion;GSC,,,714.0,0.0,58.36,GSC high impressions page2+; Needs metric pull
Application Management,Grants Management,software,grants management software,grants management software for foundations,commercial,MOFU,,,,,GSC,,,693.0,0.0,80.0,GSC high impressions page2+; Needs metric pull
Application Management,Grants Management,software + system,grants management software,grant management software system,commercial,MOFU,,,,,GSC,,,653.0,0.0,90.12,GSC high impressions page2+; Needs metric pull
Application Management,Grants Management,software,grants management software,grant project management software,commercial,MOFU,,,,,GSC,,,630.0,0.0,75.34,GSC high impressions page2+; Needs metric pull
Application Management,Grants Management,,grants management software,best grants management,informational,TOFU,,,,,Expansion,,,,,,Needs metric pull
Application Management,Grants Management,software,grants management software,grants software,commercial,MOFU,,,,,GSC,,,583.0,0.0,92.81,Needs metric pull
Application Management,Grants Management,software,grants management software,grants application software,commercial,MOFU,,,,,GSC,,,571.0,0.0,60.7,Needs metric pull
Application Management,Grants Management,,grants management software,manage grant applications,commercial,MOFU,,,,,GSC,,,495.0,0.0,82.54,Needs metric pull
Application Management,Grants Management,software,grants management software,grant management software for foundations,commercial,MOFU,,,,,GSC,,,471.0,0.0,92.97,Needs metric pull
Application Management,Grants Management,software,grants management software,grants management software,commercial,MOFU,,,,,Expansion;GSC,,,462.0,0.0,51.13,Needs metric pull
Application Management,Grants Management,software,grants management software,grants management software reviews,commercial,MOFU,,,,,GSC,,,439.0,0.0,83.12,Needs metric pull
Application Management,Grants Management,software + online,grants management software,online grant management software,commercial,MOFU,,,,,GSC,,,434.0,0.0,60.15,Needs metric pull
Application Management,Grants Management,system,grants management software,grants management system for foundations,commercial,MOFU,,,,,GSC,,,382.0,0.0,86.64,Needs metric pull
Application Management,Grants Management,system,grants management software,grant application management system,commercial,MOFU,,,,,GSC,,,371.0,0.0,56.49,Needs metric pull
Application Management,Grants Management,system + digital,grants management software,digital grants mangement system,commercial,MOFU,,,,,GSC,,,336.0,0.0,78.01,Needs metric pull
Application Management,Grants Management,platform,grants management software,grants management platform,commercial,MOFU,,,,,Expansion;GSC,,,328.0,0.0,87.65,Needs metric pull
Application Management,Grants Management,software,grants management software,grant workflow management software,commercial,MOFU,,,,,GSC,,,324.0,0.0,85.17,Needs metric pull
Application Management,Grants Management,software + system,grants management software,grant management system software,commercial,MOFU,,,,,Expansion;GSC,,,312.0,0.0,74.32,Needs metric pull
Application Management,Grants Management,software,grants management software,grant management software reviews,commercial,MOFU,,,,,GSC,,,304.0,0.0,97.25,Needs metric pull
Application Management,Grants Management,software,grants management software,software for grant management,commercial,MOFU,,,,,GSC,,,296.0,0.0,91.68,Needs metric pull
Application Management,Grants Management,software,grants management software,grant administration software,commercial,MOFU,,,,,GSC,,,283.0,0.0,93.18,Needs metric pull
Application Management,Grants Management,tool,grants management software,grant management tool,commercial,MOFU,,,,,GSC,,,277.0,0.0,94.38,Needs metric pull
Application Management,Grants Management,platform,grants management software,corporate grant management platform,commercial,MOFU,,,,,GSC,,,259.0,0.0,87.83,Needs metric pull
Application Management,Grants Management,system + online,grants management software,online grants management system,commercial,MOFU,,,,,GSC,,,252.0,0.0,71.34,Needs metric pull
Application Management,Grants Management,software,grants management software,it works grant management software,commercial,MOFU,,,,,GSC,,,248.0,0.0,84.75,Needs metric pull
Application Management,Grants Management,software,grants management software,application and grant management software review,commercial,MOFU,,,,,GSC,,,240.0,0.0,84.17,Needs metric pull
Application Management,Grants Management,software,grants management software,software for managing grant applications,commercial,MOFU,,,,,GSC,,,233.0,0.0,71.46,Needs metric pull
Application Management,Grants Management,software,grants management software,grants tracking software,commercial,MOFU,,,,,GSC,,,217.0,0.0,93.15,Needs metric pull
Application Management,Grants Management,,grants management software,wordpress grant application management,commercial,MOFU,,,,,GSC,,,190.0,0.0,39.31,Needs metric pull
Application Management,Grants Management,software,grants management software,grant management software uk,commercial,MOFU,,,,,GSC,,,171.0,0.0,80.19,Needs metric pull
Application Management,Grants Management,software,grants management software,grant program software,commercial,MOFU,,,,,GSC,,,166.0,0.0,83.16,Needs metric pull
Application Management,Grants Management,software,grants management software,grant administrative software,commercial,MOFU,,,,,GSC,,,158.0,0.0,83.4,Needs metric pull
Application Management,Grants Management,software,grants management software,grant management administration software,commercial,MOFU,,,,,GSC,,,149.0,0.0,88.17,Needs metric pull
Application Management,Grants Management,tool,grants management software,grants management tools,commercial,MOFU,,,,,GSC,,,141.0,0.0,96.95,Needs metric pull
Application Management,Grants Management,software,grants management software,software for grants,commercial,MOFU,,,,,GSC,,,138.0,0.0,96.2,Needs metric pull
Application Management,Grants Management,,grants management software,grant management systems gdpr compliance,commercial,MOFU,,,,,GSC,,,135.0,0.0,6.69,Needs metric pull
Application Management,Grants Management,,grants management software,grant management dashboard,commercial,MOFU,,,,,GSC,,,110.0,0.0,36.87,Needs metric pull
Application Management,Grants Management,software,grants management software,foundation grants management software,commercial,MOFU,,,,,GSC,,,109.0,0.0,92.99,Needs metric pull
Application Management,Scholarship Management,,scholarship management software,scholarship management,informational,TOFU,260.0,31.0,43.46,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",Expansion;GSC;Nav;SEMrush,16.0,https://omnipress.com/application-management/scholarship-management/,2046.0,0.0,51.11,GSC high impressions page2+
Application Management,Scholarship Management,services,scholarship management software,scholarship management services,commercial,MOFU,260.0,29.0,39.52,"Sitelinks, Video, Ads top, Ads bottom, Related searches",GSC;SEMrush,62.0,https://omnipress.com/application-management/scholarship-management/,803.0,0.0,47.15,GSC high impressions page2+
Application Management,Scholarship Management,system,scholarship management software,scholarship management system,commercial,MOFU,210.0,36.0,45.45,"Sitelinks, Video, Ads top, Ads bottom, Video Carousel, Related searches",Expansion;GSC;SEMrush,62.0,https://omnipress.com/application-management/scholarship-management/,2250.0,0.0,41.31,GSC high impressions page2+
Application Management,Scholarship Management,software,scholarship management software,scholarship software,commercial,MOFU,170.0,36.0,22.82,"Sitelinks, Video, Ads top, Ads bottom, Related searches",GSC;SEMrush,54.0,https://omnipress.com/application-management/scholarship-management/,2014.0,0.0,36.73,GSC high impressions page2+
Application Management,Scholarship Management,services,scholarship management software,scholarship management service,informational,TOFU,90.0,31.0,19.49,"Sitelinks, Video, Ads bottom, Related searches, AI overview",GSC;SEMrush,63.0,https://omnipress.com/application-management/scholarship-management/,209.0,0.0,54.85,
Application Management,Scholarship Management,platform,scholarship management software,scholarship management platform,commercial,MOFU,90.0,33.0,108.87,"Sitelinks, Video, Ads bottom, Related searches, Ads middle",Expansion;GSC;SEMrush,64.0,https://omnipress.com/application-management/scholarship-management/,324.0,0.0,49.61,
Application Management,Scholarship Management,software,scholarship management software,best scholarship management software 2025,commercial,MOFU,70.0,10.0,0.0,"Sitelinks, Video, Ads bottom, Related searches",SEMrush,68.0,https://omnipress.com/application-management/scholarship-management/,,,,
Application Management,Scholarship Management,software,scholarship management software,scholarship application management software,informational,TOFU,50.0,24.0,0.0,"Sitelinks, Video, Ads bottom, Related searches, AI overview",GSC;SEMrush,25.0,https://omnipress.com/application-management/scholarship-management/,1107.0,0.0,37.51,GSC high impressions page2+
Application Management,Scholarship Management,software,scholarship management software,scholarships management software,commercial,MOFU,50.0,33.0,54.73,"Sitelinks, Video, Ads top, Ads bottom, Related searches",GSC;SEMrush,15.0,https://omnipress.com/application-management/scholarship-management/,2892.0,0.0,48.06,GSC high impressions page2+
Application Management,Scholarship Management,system,scholarship management software,scholarships management system,commercial,MOFU,50.0,32.0,38.42,"Ads top, Ads bottom, Video Carousel, Related searches",GSC;SEMrush,83.0,https://omnipress.com/application-management/scholarship-management/,1553.0,0.0,55.04,GSC high impressions page2+
Application Management,Scholarship Management,software,scholarship management software,scholarship application software,commercial,MOFU,50.0,38.0,39.8,"Sitelinks, Video, Ads top, Ads bottom, Related searches",Expansion;GSC;SEMrush,46.0,https://omnipress.com/application-management/scholarship-management/,769.0,0.0,40.71,GSC high impressions page2+
Application Management,Scholarship Management,software,scholarship management software,scholarship administration software,"commercial, informational",MOFU,40.0,33.0,0.0,"Sitelinks, Video, Ads bottom, Video Carousel, Related searches, Ads middle, AI overview",GSC;SEMrush,6.0,https://omnipress.com/application-management/scholarship-management/,994.0,0.0,45.64,GSC high impressions page2+
Application Management,Scholarship Management,software,scholarship management software,software program for scholarship management,"commercial, informational",MOFU,40.0,32.0,0.0,"Video, Ads bottom, Related searches, Ads middle, AI overview",GSC;SEMrush,53.0,https://omnipress.com/application-management/scholarship-management/,862.0,0.0,58.48,GSC high impressions page2+
Application Management,Scholarship Management,,scholarship management software,scholarship management systems,commercial,MOFU,40.0,26.0,45.45,"Sitelinks, Video, Ads bottom, Video Carousel, Related searches",GSC;SEMrush,49.0,https://omnipress.com/application-management/scholarship-management/,393.0,0.0,33.29,
Application Management,Scholarship Management,software,scholarship management software,application management software for schools,informational,TOFU,40.0,64.0,0.0,"Sitelinks, Video Carousel, Related searches, AI overview",GSC;SEMrush,93.0,https://omnipress.com/application-management/scholarship-management/,100.0,0.0,13.09,
Application Management,Scholarship Management,software,scholarship management software,scholarship management software,commercial,MOFU,,,,,Expansion;GSC,,,7150.0,1.0,29.55,GSC high impressions page2+; Needs metric pull
Application Management,Scholarship Management,software,scholarship management software,best scholarship management software,commercial,MOFU,,,,,Expansion;GSC,,,2346.0,0.0,65.11,GSC high impressions page2+; Needs metric pull
Application Management,Scholarship Management,software,scholarship management software,grant and scholarship management software,commercial,MOFU,,,,,GSC,,,723.0,0.0,45.96,GSC high impressions page2+; Needs metric pull
Application Management,Scholarship Management,software,scholarship management software,grant scholarship management software,commercial,MOFU,,,,,GSC,,,629.0,0.0,47.34,GSC high impressions page2+; Needs metric pull
Application Management,Scholarship Management,software + online,scholarship management software,online scholarship management software,commercial,MOFU,,,,,Expansion;GSC,,,591.0,0.0,43.28,Needs metric pull
Application Management,Scholarship Management,software + system,scholarship management software,scholarship management system software,commercial,MOFU,,,,,Expansion;GSC,,,579.0,0.0,37.95,Needs metric pull
Application Management,Scholarship Management,software,scholarship management software,scholarship program management software,commercial,MOFU,,,,,GSC,,,569.0,0.0,50.15,Needs metric pull
Application Management,Scholarship Management,software,scholarship management software,scholarship submission software,commercial,MOFU,,,,,GSC,,,561.0,0.0,28.17,Needs metric pull
Application Management,Scholarship Management,software,scholarship management software,scholarship software programs,commercial,MOFU,,,,,GSC,,,500.0,0.0,34.22,Needs metric pull
Application Management,Scholarship Management,software + online,scholarship management software,online scholarship application software,commercial,MOFU,,,,,Expansion;GSC,,,460.0,0.0,36.09,Needs metric pull
Application Management,Scholarship Management,system + online,scholarship management software,online scholarship management system,commercial,MOFU,,,,,Expansion;GSC,,,404.0,0.0,30.71,Needs metric pull
Application Management,Scholarship Management,,scholarship management software,scholarship application management,commercial,MOFU,,,,,GSC,,,393.0,0.0,40.68,Needs metric pull
Application Management,Scholarship Management,,scholarship management software,scholarship application and management portal,commercial,MOFU,,,,,GSC,,,361.0,0.0,36.95,Needs metric pull
Application Management,Scholarship Management,,scholarship management software,scholarship management program,commercial,MOFU,,,,,GSC,,,332.0,0.0,33.95,Needs metric pull
Application Management,Scholarship Management,system,scholarship management software,scholarship information management system,commercial,MOFU,,,,,GSC,,,228.0,0.0,33.31,Needs metric pull
Application Management,Scholarship Management,system,scholarship management software,scholarship management system project,commercial,MOFU,,,,,GSC,,,178.0,0.0,21.11,Needs metric pull
Application Management,Scholarship Management,software,scholarship management software,scholarship database software,commercial,MOFU,,,,,GSC,,,169.0,0.0,42.33,Needs metric pull
Application Management,Scholarship Management,system,scholarship management software,scholarship management information system,commercial,MOFU,,,,,GSC,,,145.0,0.0,72.03,Needs metric pull
Application Management,Scholarship Management,system,scholarship management software,scholarship application management system,commercial,MOFU,,,,,GSC,,,123.0,0.0,24.19,Needs metric pull
Application Management,Scholarship Management,,scholarship management software,scholarship management companies,commercial,MOFU,,,,,GSC,,,122.0,0.0,70.03,Needs metric pull
Application Management,Scholarship Management,software,scholarship management software,free scholarship management software,commercial,MOFU,,,,,GSC,,,118.0,0.0,38.81,Needs metric pull
Application Management,Scholarship Management,software,scholarship management software,schscholarship application management software,commercial,MOFU,,,,,GSC,,,115.0,0.0,28.71,Needs metric pull
Application Management,Scholarship Management,,scholarship management software,"best scholarship management solution for automating review committees and 
scoring",informational,TOFU,,,,,GSC,,,105.0,0.0,7.29,Needs metric pull
Application Management,Scholarship Management,software,scholarship management software,scholarship tracking software,commercial,MOFU,,,,,GSC,,,103.0,0.0,61.8,Needs metric pull
Application Management,Scholarship Management,app,scholarship management software,all-in-one scholarship management app for local scholarship program,commercial,MOFU,,,,,GSC,,,97.0,0.0,5.99,Needs metric pull
Application Management,Scholarship Management,,scholarship management software,scholarship management programs,commercial,MOFU,,,,,GSC,,,93.0,0.0,69.15,Needs metric pull
Brand/Navigational,Careers,,omnipress careers,jobs desktop publishing,commercial,MOFU,110.0,17.0,0.16,"Video, Jobs search, People also ask, Related searches",SEMrush,58.0,https://omnipress.com/jobs/print-press-and-bindery-operator-internship/,,,,
Brand/Navigational,Careers,,omnipress careers,bindery position,"commercial, informational",MOFU,40.0,17.0,0.0,"Image pack, Sitelinks, Video, Jobs search, People also ask, Related searches",SEMrush,85.0,https://omnipress.com/jobs/print-press-and-bindery-operator-part-time/,,,,
Brand/Navigational,Careers,,omnipress careers,bindery operator job,commercial,MOFU,30.0,16.0,0.34,"Jobs search, People also ask, Related searches",SEMrush,36.0,https://omnipress.com/jobs/lead-print-press-and-bindery-operator-2nd-shift/,,,,
Brand/Navigational,Catalyst,,catalyst abstract management,catalyst bellflower reviews,commercial,MOFU,50.0,19.0,0.0,"Knowledge panel, People also ask, Related searches",SEMrush,5.0,https://support.omnipress.com/catalyst/home/help-me-with-fee-payment/what-credit-cards-do-you-accept/,,,,
Brand/Navigational,Catalyst,login,catalyst abstract management,catalyst login,navigational,BOFU,,,,,GSC,,,5484.0,5.0,10.19,Needs metric pull
Brand/Navigational,Catalyst,,catalyst abstract management,does catalyst take credit card,navigational,BOFU,,,,,GSC,,,482.0,4.0,7.2,Needs metric pull
Brand/Navigational,Catalyst,,catalyst abstract management,immediate catalyst,navigational,BOFU,,,,,GSC,,,443.0,0.0,48.34,Needs metric pull
Brand/Navigational,Catalyst,,catalyst abstract management,catalyst cost,navigational,BOFU,,,,,GSC,,,272.0,0.0,23.81,Needs metric pull
Brand/Navigational,Catalyst,pricing,catalyst abstract management,catalyst pricing,navigational,BOFU,,,,,GSC,,,209.0,0.0,18.09,Needs metric pull
Brand/Navigational,Catalyst,,catalyst abstract management,catalyst integration,navigational,BOFU,,,,,GSC,,,199.0,0.0,73.74,Needs metric pull
Brand/Navigational,Catalyst,,catalyst abstract management,catalyst log in,navigational,BOFU,,,,,GSC,,,188.0,0.0,8.86,Needs metric pull
Brand/Navigational,Catalyst,software,catalyst abstract management,software catalyst,navigational,BOFU,,,,,GSC,,,172.0,0.0,63.53,Needs metric pull
Brand/Navigational,Catalyst,,catalyst abstract management,catalyst paper website,navigational,BOFU,,,,,GSC,,,162.0,0.0,8.62,Needs metric pull
Brand/Navigational,Catalyst,,catalyst abstract management,catalyst paper official website,navigational,BOFU,,,,,GSC,,,148.0,0.0,10.39,Needs metric pull
Brand/Navigational,Catalyst,,catalyst abstract management,does catalyst take card,navigational,BOFU,,,,,GSC,,,139.0,2.0,8.06,Needs metric pull
Brand/Navigational,Catalyst,pricing,catalyst abstract management,pricing catalyst,navigational,BOFU,,,,,GSC,,,136.0,0.0,40.16,Needs metric pull
Brand/Navigational,Catalyst,software,catalyst abstract management,catalyst software,navigational,BOFU,,,,,GSC,,,129.0,0.0,58.33,Needs metric pull
