e ,For Pages and Posts,"For Video Content, Social, Etc.",Content Type,,,"(Steve's Note: No state homepage, 2 gray divorce)",,Idealized URL Structure,for MSV?,From WordPress - what exists now,"Future URL Should Be This Based on 
Idealized URL Structure. Fill all of this out.",for MSV? based on Target Seedword?,WP Post or Page ID,WP Post Type (Page/Post),WP Publish Status,WP Page/Post Title,WP Slug,WP PLUGIN - Custom URL,WP Permalink,WP Parent ID,WP Parent Slug,WP PLUGIN - Meta Title - like Yoast `_yoast_wpseo_title`,WP PLUGIN - Meta Description - like Yoast `_yoast_wpseo_metadesc`,WP Page/Post Excerpt,WP PLUGIN - Index/No Index Status - like Yoast  `_yoast_wpseo_meta-robots-noindex`,WP Page/Post Categories,WP Page/Post Tags,WP Page/Post Modifed Date,Prompt for Keyword Intent and AI Overview,,
16,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 1} Collaborative Divorce Lawyer,,.com/{state}/locations/{city 1}/collaborative-divorce/,{city 1} collaborative divorce lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,10
17,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 1} Uncontested Divorce Lawyer,,.com/{state}/locations/{city 1}/uncontested-divorce/,{city 1} uncontested divorce lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,90
18,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 1} Contested Divorce Lawyer,,.com/{state}/locations/{city 1}/contested-divorce/,{city 1} contested divorce lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,10
19,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 1} Child Custody Lawyer,,.com/{state}/locations/{city 1}/child-custody/,{city 1} child custody lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,500
20,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 1} Child Support Lawyer,,.com/{state}/locations/{city 1}/child-support/,{city 1} child support lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,1350
21,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 1} Alimony Lawyer,,.com/{state}/locations/{city 1}/alimony/,{city 1} alimony lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,30
22,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 1} Property Division Lawyer,,.com/{state}/locations/{city 1}/property-division/,{city 1} property division lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,10
23,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 1} Paternity Lawyer,,.com/{state}/locations/{city 1}/paternity/,{city 1} paternity lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,20
24,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 1} Military Divorce Lawyer,,.com/{state}/locations/{city 1}/military-divorce/,{city 1} military divorce lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,20
25,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 2} Divorce Mediation,,.com/{state}/locations/{city 2}/divorce-mediation/,{city 2} divorce mediation,,,,,,,,,,,,,,,,,,,,Purchase,Yes,210
26,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 2} Collaborative Divorce Lawyer,,.com/{state}/locations/{city 2}/collaborative-divorce/,{city 2} collaborative divorce lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,10
27,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 2} Uncontested Divorce Lawyer,,.com/{state}/locations/{city 2}/uncontested-divorce/,{city 2} uncontested divorce lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,90
28,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 2} Contested Divorce Lawyer,,.com/{state}/locations/{city 2}/contested-divorce/,{city 2} contested divorce lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,10
29,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 2} Child Custody Lawyer,,.com/{state}/locations/{city 2}/child-custody/,{city 2} child custody lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,500
30,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 2} Child Support Lawyer,,.com/{state}/locations/{city 2}/child-support/,{city 2} child support lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,1350
31,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 2} Alimony Lawyer,,.com/{state}/locations/{city 2}/alimony/,{city 2} alimony lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,30
32,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 2} Property Division Lawyer,,.com/{state}/locations/{city 2}/property-division/,{city 2} property division lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,10
33,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 2} Paternity Lawyer,,.com/{state}/locations/{city 2}/paternity/,{city 2} paternity lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,20
34,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 2} Military Divorce Lawyer,,.com/{state}/locations/{city 2}/military-divorce/,{city 2} military divorce lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,20
35,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 3} Divorce Mediation,,.com/{state}/locations/{city 3}/divorce-mediation/,{city 3} divorce mediation,,,,,,,,,,,,,,,,,,,,Purchase,Yes,210
36,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 3} Collaborative Divorce Lawyer,,.com/{state}/locations/{city 3}/collaborative-divorce/,{city 3} collaborative divorce lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,10
37,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 3} Uncontested Divorce Lawyer,,.com/{state}/locations/{city 3}/uncontested-divorce/,{city 3} uncontested divorce lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,90
38,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 3} Contested Divorce Lawyer,,.com/{state}/locations/{city 3}/contested-divorce/,{city 3} contested divorce lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,10
39,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 3} Child Custody Lawyer,,.com/{state}/locations/{city 3}/child-custody/,{city 3} child custody lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,500
40,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 3} Child Support Lawyer,,.com/{state}/locations/{city 3}/child-support/,{city 3} child support lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,1350
41,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 3} Alimony Lawyer,,.com/{state}/locations/{city 3}/alimony/,{city 3} alimony lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,30
42,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 3} Property Division Lawyer,,.com/{state}/locations/{city 3}/property-division/,{city 3} property division lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,10
43,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 3} Paternity Lawyer,,.com/{state}/locations/{city 3}/paternity/,{city 3} paternity lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,20
44,Phase 05,,Core Content Pages,Location Pages,Location Support Pages,{city 3} Military Divorce Lawyer,,.com/{state}/locations/{city 3}/military-divorce/,{city 3} military divorce lawyer,,,,,,,,,,,,,,,,,,,,Purchase,No,20
45,Phase 02,,Core Content Pages,Attorney Pages,Attorney Hub,{state} Attorneys,,.com/{state}/attorneys/,{state} attorneys,,,,,,,,,,,,,,,,,,,,Purchase,No,2960
46,Phase 02,Phase 1,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney {attorney first name 1} {attorney last name 1},,.com/{state}/attorneys/{attorney 1 first name - attorney 1 last name}/,attorney {attorney first name 1} {attorney last name 1},,,,,,,,,,,,,,,,,,,,Purchase,No,10
47,Phase 02,Phase 1,Core Content Pages,Attorney Pages,Individual Attorney Pages,Attorney {attorney first name 2} {attorney last name 2},,.com/{state}/attorneys/{attorney 2 first name - attorney 2 last name}/,attorney {attorney first name 2} {attorney last name 2},,,,,,,,,,,,,,,,,,,,Purchase,No,10
48,Phase 05,,Core Content Pages,Attorney Pages,Individual Attorney Review Pages,Attorney {attorney first name 1} {attorney last name 1} Reviews,,.com/{state}/attorneys/{attorney 1 first name - attorney 1 last name}/reviews/,attorney {attorney first name 1} {attorney last name 1} reviews,,,,,,,,,,,,,,,,,,,,Purchase,No,0
49,Phase 05,,Core Content Pages,Attorney Pages,Individual Attorney Review Pages,Attorney {attorney first name 2} {attorney last name 2} Reviews,,.com/{state}/attorneys/{attorney 2 first name - attorney 2 last name}/reviews/,attorney {attorney first name 2} {attorney last name 2} reviews,,,,,,,,,,,,,,,,,,,,Purchase,No,0
50,Phase 07,,Core Content Pages,Service Area Pages,Service Area Hub,{Brand} {state} Family Law Office Service Areas,,.com/{state}/areas/,{brand} service areas {state},,,,,,,,,,,,,,,,,,,,Purchase,No,0
51,Phase 07,,Core Content Pages,Service Area Pages,Individual Service Area Pages (Counties),{service area county 1} Divorce & Family Lawyers,,.com/{state}/areas/{county1}/,{county 1} divorce lawyers,,,,,,,,,,,,,,,,,,,,Purchase,No,1480
52,Phase 07,,Core Content Pages,Service Area Pages,Individual Service Area Pages (Counties),{service area county 2} Divorce & Family Lawyers,,.com/{state}/areas/{county2}/,{county 2} divorce lawyers,,,,,,,,,,,,,,,,,,,,Purchase,No,1480
53,Phase 07,,Core Content Pages,Service Area Pages,Individual Service Area Pages (Counties),{service area county 3} Divorce & Family Lawyers,,.com/{state}/areas/{county3}/,{county 3} divorce lawyers,,,,,,,,,,,,,,,,,,,,Purchase,No,1480
54,Phase 07,,Core Content Pages,Service Area Pages,Individual Service Area Pages (Cities),{service area city 1} Divorce & Family Lawyers,,.com/{state}/areas/{county1}/{city1}/,{service area city 1} divorce lawyers,,,,,,,,,,,,,,,,,,,,Purchase,No,1480
55,Phase 07,,Core Content Pages,Service Area Pages,Individual Service Area Pages (Cities),{service area city 2} Divorce & Family Lawyers,,.com/{state}/areas/{county1}/{city2}/,{service area city 2} divorce lawyers,,,,,,,,,,,,,,,,,,,,Purchase,No,1480
56,Phase 07,,Core Content Pages,Service Area Pages,Individual Service Area Pages (Cities),{service area city 3} Divorce & Family Lawyers,,.com/{state}/areas/{county1}/{city3}/,{service area city 3} divorce lawyers,,,,,,,,,,,,,,,,,,,,Purchase,No,1480
57,Phase 04,Phase 2,Supporting Content,Divorce Supporting Content,Procedure Content,Filing for Divorce in {state},,.com/{state}/divorce/filing-for-divorce/,how to file for divorce in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,"4,400"
58,Phase 04,Phase 5,Supporting Content,Divorce Supporting Content,Procedure Content,Annulment in {state},,.com/{state}/divorce/annulment/,annulment {state},,,,,,,,,,,,,,,,,,,,Research,Yes,"1,000"
59,Phase 04,Phase 5,Supporting Content,Divorce Supporting Content,Procedure Content,Legal Separation in {state},,.com/{state}/divorce/legal-separation/,legal separation {state},,,,,,,,,,,,,,,,,,,,Research,Yes,"1,300"
60,Phase 04,Phase 15,Supporting Content,Divorce Supporting Content,Procedure Content,Divorce Mediation in {state},,.com/{state}/divorce/mediation/,divorce mediation {state},,,,,,,,,,,,,,,,,,,,Purchase,Yes,600
61,Phase 08,Phase 15,Supporting Content,Divorce Supporting Content,Procedure Content,Collaborative Divorce in {state},,.com/{state}/divorce/collaborative/,collaborative divorce {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,300
62,Phase 06,Phase 15,Supporting Content,Divorce Supporting Content,Procedure Content,Contested Divorce in {state},,.com/{state}/divorce/contested/,contested divorce {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,400
63,Phase 04,Phase 15,Supporting Content,Divorce Supporting Content,Procedure Content,Uncontested Divorce in {state},,.com/{state}/divorce/uncontested/,uncontested divorce {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,800
64,Phase 09,Phase 18,Supporting Content,Divorce Supporting Content,Procedure Content,Default Divorce in {state},,.com/{state}/divorce/default/,default divorce {state},,,,,,,,,,,,,,,,,,,,Research,Yes,150
65,Phase 10,Phase 18,Supporting Content,Divorce Supporting Content,Procedure Content,Summary Dissolution (Simplified Divorce) in {state},,.com/{state}/divorce/summary-dissolution/,simplified divorce {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,100
66,Phase 08,Phase 18,Supporting Content,Divorce Supporting Content,Procedure Content,Modifying a Divorce Decree After Finalization in {state},,.com/{state}/divorce/how-long/,modify divorce decree {state},,,,,,,,,,,,,,,,,,,,Purchase,No,250
67,Phase 04,Phase 2,Supporting Content,Divorce Supporting Content,Situational Content,How Much Does A Divorce Cost In {state},,.com/{state}/divorce/divorce-costs/,cost of divorce in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,"2,400"
68,Phase 04,Phase 12,Supporting Content,Divorce Supporting Content,Situational Content,How Long Does A Divorce Take In {state},,.com/{state}/divorce/process-duration/,how long does a divorce take in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,"1,000"
69,Phase 04,Phase 12,Supporting Content,Divorce Supporting Content,Situational Content,Divorce and Child Custody in {state},,.com/{state}/divorce/child-custody/,child custody and divorce {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,700
70,Phase 06,Phase 12,Supporting Content,Divorce Supporting Content,Situational Content,Divorce and Child Support in {state},,.com/{state}/divorce/child-support/,divorce and child support {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,500
71,Phase 04,Phase 5,Supporting Content,Divorce Supporting Content,Situational Content,Divorce and Alimony in {state},,.com/{state}/divorce/alimony/,alimony in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,"1,600"
72,Phase 08,Phase 18,Supporting Content,Divorce Supporting Content,Situational Content,Divorce and Property Division in {state},,.com/{state}/divorce/property-division/,property division divorce {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,250
74,Phase 04,Phase 2,Supporting Content,Divorce Supporting Content,Situational Content,Arbitration vs. Litigation,,.com/{state}/divorce/arbitration-vs-litigation/,arbitration vs litigation,,,,,,,,,,,,,,,,,,,,Research,Yes,"2,900"
75,Phase 10,Phase 28,Supporting Content,Divorce Supporting Content,Situational Content,Interstate Divorce in {state},,.com/{state}/divorce/interstate/,interstate divorce {state},,,,,,,,,,,,,,,,,,,,Research,Yes,100
76,Phase 09,Phase 23,Supporting Content,Divorce Supporting Content,Situational Content,Dating Again After Divorce in {state},,.com/{state}/divorce/dating-after/,dating after divorce {state},,,,,,,,,,,,,,,,,,,,Research,Yes,150
77,Phase 10,Phase 28,Supporting Content,Divorce Supporting Content,Situational Content,International Divorce in {state},,.com/{state}/divorce/international/,international divorce {state},,,,,,,,,,,,,,,,,,,,Research,Yes,90
78,Phase 06,Phase 12,Supporting Content,Divorce Supporting Content,Situational Content,Divorcing a Narcissist in {state},,.com/{state}/divorce/narcissist/,divorcing a narcissist {state},,,,,,,,,,,,,,,,,,,,Research,Yes,350
79,Phase 09,Phase 23,Supporting Content,Divorce Supporting Content,Situational Content,Marital Abandonment and Divorce in {state}: What You Need to Know,,.com/{state}/divorce/marital-abandonment/,marital abandonment {state},,,,,,,,,,,,,,,,,,,,Research,Yes,200
80,Phase 09,Phase 11,Supporting Content,Divorce Supporting Content,Situational Content,"Navigating ""Gray Divorce"": Considerations for Older Couples in {state}",,.com/{state}/divorce/gray-over-50/,gray divorce {state},,,,,,,,,,,,,,,,,,,,Research,Yes,150
81,Phase 11,Phase 23,Supporting Content,Divorce Supporting Content,Situational Content,Social Media and Divorce: What You Need to Know in {state},,.com/{state}/divorce/social-media/,social media and divorce {state},,,,,,,,,,,,,,,,,,,,Research,Yes,70
82,Phase 04,Phase 2,Supporting Content,Divorce Supporting Content,Legal Description Content,Divorce Laws In {state},,.com/{state}/divorce/laws/,{state} divorce laws,,,,,,,,,,,,,,,,,,,,Research,Yes,"3,600"
83,Phase 04,Phase 5,Supporting Content,Divorce Supporting Content,Legal Description Content,Grounds For Divorce In {state},,.com/{state}/divorce-grounds/,grounds for divorce in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,"1,600"
84,Phase 09,Phase 18,Supporting Content,Divorce Supporting Content,Legal Description Content,Understanding Fault vs. No-Fault Divorce in {state},,.com/{state}/divorce/no-fault-vs-fault/,fault vs no fault divorce {state},,,,,,,,,,,,,,,,,,,,Research,Yes,200
85,Phase 04,Phase 2,Supporting Content,Divorce Supporting Content,Legal Description Content,Domestic Violence & Protective Orders in {state},,.com/{state}/domestic-violence/protective-orders/,protective order {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,"3,200"
86,Phase 09,Phase 5,Supporting Content,Divorce Supporting Content,Legal Description Content,Divorce Residency Requirements in {state},,.com/{state}/divorce/residency-requirements/,divorce residency requirements {state},,,,,,,,,,,,,,,,,,,,Research,Yes,150
87,Phase 10,Phase 28,Supporting Content,Divorce Supporting Content,Legal Description Content,Legal Considerations for Same-Sex Divorce in {state},,.com/{state}/divorce/same-sex-couples-lgbt/,same sex divorce {state},,,,,,,,,,,,,,,,,,,,Research,Yes,90
88,Phase 08,Phase 18,Supporting Content,Divorce Supporting Content,Legal Description Content,Tax Implications of Divorce in {state}: A Comprehensive Guide,,.com/{state}/divorce/tax-implications/,divorce tax implications {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,250
89,Phase 06,Phase 16,Supporting Content,Child Custody Supporting Content,Procedure Content,Child Custody Modification in {state},,.com/{state}/child-custody/modification/,child custody modification {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,350
90,Phase 09,Phase 16,Supporting Content,Child Custody Supporting Content,Procedure Content,Child Custody Enforcement in {state},,.com/{state}/child-custody/enforcement/,child custody enforcement {state},,,,,,,,,,,,,,,,,,,,Purchase,No,150
91,Phase 06,Phase 16,Supporting Content,Child Custody Supporting Content,Procedure Content,Child Custody Termination in {state},,.com/{state}/child-custody/termination/,terminating parental rights {state},,,,,,,,,,,,,,,,,,,,Purchase,No,400
92,Phase 08,Phase 16,Supporting Content,Child Custody Supporting Content,Procedure Content,Temporary Custody Order in {state},,.com/{state}/child-custody/temporary-order/,temporary custody order {state},,,,,,,,,,,,,,,,,,,,Purchase,No,300
93,Phase 10,Phase 13,Supporting Content,Child Custody Supporting Content,Situational Content,{state} Approved Co-Parenting Apps & Tools,,.com/{state}/child-custody/co-parenting-tools/,co parenting apps approved by {state} courts,,,,,,,,,,,,,,,,,,,,Research,Yes,90
94,Phase 10,Phase 20,Supporting Content,Child Custody Supporting Content,Situational Content,Addressing Parental Alienation in {state} Custody Disputes,,.com/{state}/child-custody/parental-alienation/,parental alienation {state} custody,,,,,,,,,,,,,,,,,,,,Research,Yes,110
95,Phase 09,Phase 20,Supporting Content,Child Custody Supporting Content,Situational Content,Contempt Of Court With Child Custody in {state},,.com/{state}/child-custody/contempt-of-court-orders/,contempt of court child custody {state},,,,,,,,,,,,,,,,,,,,Purchase,No,170
96,Phase 10,Phase 20,Supporting Content,Child Custody Supporting Content,Situational Content,Violation Of Parenting Plan in {state},,.com/{state}/child-custody/parenting-plan-violation/,parenting plan violation {state},,,,,,,,,,,,,,,,,,,,Purchase,No,90
97,Phase 08,Phase 4,Supporting Content,Child Custody Supporting Content,Situational Content,How to Prepare for a Child Custody Hearing,,.com/{state}/child-custody/hearing-preparation/,how to prepare for child custody hearing,,,,,,,,,,,,,,,,,,,,Research,Yes,250
98,Phase 10,Phase 20,Supporting Content,Child Custody Supporting Content,Situational Content,Co-Parenting with a Narcissist in {state},,.com/{state}/child-custody/co-parenting-narcissist/,co parenting with a narcissist {state},,,,,,,,,,,,,,,,,,,,Research,Yes,120
99,Phase 11,Phase 20,Supporting Content,Child Custody Supporting Content,Situational Content,Co-Parenting with a Difficult Ex in {state},,.com/{state}/child-custody/co-parenting-difficult-spouse/,co parenting with a difficult ex {state},,,,,,,,,,,,,,,,,,,,Research,Yes,70
100,Phase 06,Phase 13,Supporting Content,Child Custody Supporting Content,Situational Content,Name Change For Child in {state},,.com/{state}/child-custody/name-change/,child name change {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,500
101,Phase 09,Phase 11,Supporting Content,Child Custody Supporting Content,Situational Content,Relocating with Children After Divorce in {state},,.com/{state}/child-custody/relocating-children/,relocating with child after divorce {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,200
102,Phase 11,Phase 11,Supporting Content,Child Custody Supporting Content,Situational Content,Managing Custody Arrangements for Children with Special Needs,,.com/{state}/child-custody/special-needs-children/,special needs child custody {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,80
103,Phase 10,Phase 31,Supporting Content,Child Custody Supporting Content,Situational Content,Navigating Custody Challenges in Military Families,,.com/{state}/child-custody/military-families/,military child custody {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,90
104,Phase 06,Phase 6,Supporting Content,Child Custody Supporting Content,Legal Description Content,50/50 Custody in {state},,.com/{state}/child-custody/50-50-custody/,50/50 custody {state},,,,,,,,,,,,,,,,,,,,Research,Yes,450
105,Phase 04,Phase 5,Supporting Content,Child Custody Supporting Content,Legal Description Content,Abandonment Laws in {state},,.com/{state}/child-custody/abandonment-laws/,child abandonment laws {state},,,,,,,,,,,,,,,,,,,,Research,Yes,600
106,Phase 08,Phase 8,Supporting Content,Child Custody Supporting Content,Legal Description Content,Co-Parenting Agreement,,.com/{state}/child-custody/co-parenting-agreement/,co parenting agreement {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,250
107,Phase 09,Phase 6,Supporting Content,Child Custody Supporting Content,Legal Description Content,Child Placement Laws in {state},,.com/{state}/child-custody/placement-laws/,child placement laws {state},,,,,,,,,,,,,,,,,,,,Research,Yes,180
108,Phase 04,Phase 5,Supporting Content,Child Custody Supporting Content,Legal Description Content,Guardian Ad Litem in {state},,.com/{state}/child-custody/role-guardian-ad-litem-gal/,guardian ad litem {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,900
109,Phase 04,Phase 6,Supporting Content,Child Custody Supporting Content,Legal Description Content,At What Age Can a Child Choose Which Parent to Live With in {state},,.com/{state}/child-custody/child-preference-age/,what age can a child choose parent in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,700
110,Phase 04,Phase 4,Supporting Content,Child Custody Supporting Content,Legal Description Content,Child Custody Laws in {state},,.com/{state}/child-custody/laws/,{state} child custody laws,,,,,,,,,,,,,,,,,,,,Research,Yes,"2,400"
111,Phase 04,Phase 7,Supporting Content,Child Custody Supporting Content,Legal Description Content,Sole Custody in {state},,.com/{state}/child-custody/sole-custody/,sole custody {state},,,,,,,,,,,,,,,,,,,,Research,Yes,800
112,Phase 04,Phase 7,Supporting Content,Child Custody Supporting Content,Legal Description Content,Full Custody in {state},,.com/{state}/child-custody/full-custody/,full custody {state},,,,,,,,,,,,,,,,,,,,Research,Yes,650
113,Phase 06,Phase 11,Supporting Content,Child Custody Supporting Content,Legal Description Content,Visitation Rights for Grandparents & Third Parties in {state},,.com/{state}/child-custody/grandparent-third-party-visitation/,grandparents visitation rights {state},,,,,,,,,,,,,,,,,,,,Research,Yes,350
114,Phase 06,Phase 7,Supporting Content,Child Custody Supporting Content,Legal Description Content,Legal Custody in {state},,.com/{state}/child-custody/legal-custody/,legal custody {state},,,,,,,,,,,,,,,,,,,,Research,Yes,500
115,Phase 08,Phase 7,Supporting Content,Child Custody Supporting Content,Legal Description Content,Physical Custody in {state},,.com/{state}/child-custody/physical-custody/,physical custody {state},,,,,,,,,,,,,,,,,,,,Research,Yes,300
116,Phase 12,Phase 8,Supporting Content,Child Custody Supporting Content,Legal Description Content,Hybrid Custody Arrangements in {state},,.com/{state}/child-custody/hybrid-arrangements/,hybrid custody {state},,,,,,,,,,,,,,,,,,,,Research,Yes,40
