Map ID,Content Phase,Content Category,Content Type,Content Role,Page Title Structure,Idealized URL,Target Seed Keyword,Existing Client URL
30,Phase 04,Core Content Pages,Situational Pages,Relocation / Move-Away Custody Disputes,Relocation / Move-Away Custody Disputes in Texas,/child-custody/relocation/,parental relocation custody texas,https://sbrownlawyer.com/parental-relocation/
31,Phase 04,Core Content Pages,Situational Pages,Divorce Involving Business Ownership,Divorce Involving Business Ownership in Texas,/divorce/business-owner/,business owner divorce texas,https://sbrownlawyer.com/business-owner-divorce/
32,Phase 04,Core Content Pages,Situational Pages,High-Conflict Custody,High-Conflict Custody in Texas,/child-custody/high-conflict/,contested custody texas,https://sbrownlawyer.com/contested-custody/
33,Phase 04,Core Content Pages,Situational Pages,Child Support Disputes After Income Changes,Child Support Disputes After Income Changes in Texas,/child-support/income-change/,child support income change texas,https://sbrownlawyer.com/child-support-modifications/
34,Phase 04,Core Content Pages,Situational Pages,Back Child Support / Arrears,Back Child Support / Arrears in Texas,/child-support/arrears/,back child support texas,https://sbrownlawyer.com/enforcing-child-support-orders/
35,Phase 04,Core Content Pages,Situational Pages,Long-Term Marriage Divorce,Long-Term Marriage Divorce in Texas,/divorce/long-term-marriage/,gray divorce texas,https://sbrownlawyer.com/gray-divorce/
36,Phase 04,Core Content Pages,Situational Pages,Business Valuation and Division,Business Valuation and Division in Texas Divorce,/property-division/business-valuation/,business valuation divorce texas,https://sbrownlawyer.com/business-and-professional-practices-in-divorce/
37,Phase 04,Core Content Pages,Situational Pages,Emergency Guardianship,Emergency Guardianship in Texas,/guardianship/emergency/,emergency guardianship texas,
38,Phase 04,Core Content Pages,Situational Pages,Parenting Time Disputes,Parenting Time Disputes in Texas,/child-custody/parenting-time-disputes/,parenting time disputes texas,https://sbrownlawyer.com/family-law/visitation/
39,Phase 04,Core Content Pages,Situational Pages,High-Income Spousal Support Disputes,High-Income Spousal Support Disputes in Texas,/spousal-support/high-income/,high income spousal support texas,https://sbrownlawyer.com/high-net-worth-divorce/
40,Phase 04,Core Content Pages,Situational Pages,Self-Employed or Variable Income Support,Self-Employed or Variable Income Child Support in Texas,/child-support/variable-income/,self employed child support texas,
41,Phase 04,Core Content Pages,Situational Pages,Supervised Visitation,Supervised Visitation in Texas,/child-custody/supervised-visitation/,supervised visitation texas,
42,Phase 04,Core Content Pages,Situational Pages,Hidden Assets and Financial Misconduct,Hidden Assets and Financial Misconduct in Texas Divorce,/divorce/hidden-assets/,hidden assets divorce texas,https://sbrownlawyer.com/hidden-assets/
