Consideration (Case Studies/Testimonials),CTA Button,After proof - drive action,,,,,,,,,,,,,,,,,,
Evaluation (Service pages),Full Banner,Clear value prop - strong CTA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
--- QUICK DECISION FORMULA ---,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Condition,Result,,,,,,,,,,,,,,,,,,
IF Page Type = Service AND Sessions > 100,Use BANNER,,,,,,,,,,,,,,,,,,
ELSE IF Page Type = Industry OR Case Study,Use BUTTON,,,,,,,,,,,,,,,,,,
ELSE IF Click Heatmap shows text engagement,Use ANCHOR LINK,,,,,,,,,,,,,,,,,,
ELSE,Use BUTTON (safe default),,,,,,,,,,,,,,,,,,
