Map ID,Content Phase,Content Category,Content Type,Content Role,Page Title Structure,Idealized URL,Target Seed Keyword,Existing Client URL,Gap Status,Notes,-
9,Phase 1,Procedural,Process Page,Cluster Support,Uncontested Divorce in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/divorce/uncontested-divorce/,illinois uncontested divorce,https://www.sterlinglawyers.com/illinois/divorce/uncontested-divorce/,MAPPED,Full match to existing page.,
10,Phase 2,Procedural,Process Page,Cluster Support,Child Custody Modification in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-custody/modify-orders/,illinois child custody modification,https://www.sterlinglawyers.com/illinois/child-custody/modify-orders/,MAPPED,Full match to existing page.,
11,Phase 2,Procedural,Process Page,Cluster Support,Child Support Modification in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-support/modify-orders/,illinois child support modification,https://www.sterlinglawyers.com/illinois/child-support/modify-orders/,MAPPED,Full match to existing page.,
12,Phase 2,Procedural,Process Page,Cluster Support,Child Support Enforcement in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-support/enforce-orders/,illinois child support enforcement,https://www.sterlinglawyers.com/illinois/child-support/enforce-orders/,MAPPED,Full match to existing page.,
13,Phase 2,Procedural,Process Page,Cluster Support,Parenting Plans in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-custody/parenting-plan/,illinois parenting plans,https://www.sterlinglawyers.com/illinois/child-custody/parenting-plan/,MAPPED,Full match to existing page.,
14,Phase 2,Procedural,Process Page,Cluster Support,Temporary Spousal Support in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/spousal-support/temporary-support/,illinois temporary spousal support,https://www.sterlinglawyers.com/illinois/spousal-support/divorce/,PARTIAL,No dedicated 'temporary spousal support' URL found; closest matches cover support/temporary orders during divorce. Partial coverage via https://www.sterlinglawyers.com/illinois/spousal-support/divorce/ — recommend dedicated page at https://www.sterlinglawyers.com/illinois/spousal-support/temporary-support/.,
15,Phase 2,Procedural,Process Page,Cluster Support,Equitable Distribution in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/property-division/equitable-distribution/,illinois equitable distribution,https://www.sterlinglawyers.com/illinois/property-division/,PARTIAL,Illinois property division pages cover equitable distribution concepts; no page titled 'equitable distribution'. Partial coverage via https://www.sterlinglawyers.com/illinois/property-division/ — recommend dedicated page at https://www.sterlinglawyers.com/illinois/property-division/equitable-distribution/.,
16,Phase 2,Procedural,Process Page,Cluster Support,Establishing Paternity in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/paternity/establish-paternity/,illinois establishing paternity,https://www.sterlinglawyers.com/illinois/child-custody/paternity/,MAPPED,Dedicated 'Establishing Paternity' page lives under Child Custody. Full match to existing page.,
17,Phase 2,Procedural,Process Page,Cluster Support,Emergency Custody Orders in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-custody/emergency-custody-order/,illinois emergency custody orders,https://www.sterlinglawyers.com/illinois/child-custody/temporary-parental-responsibilities/,PARTIAL,No page explicitly named 'emergency custody orders'; temporary custody/responsibilities is closest. Partial coverage via https://www.sterlinglawyers.com/illinois/child-custody/temporary-parental-responsibilities/ — recommend dedicated page at https://www.sterlinglawyers.com/illinois/child-custody/emergency-custody-order/.,
18,Phase 2,Procedural,Process Page,Cluster Support,Marital vs Separate Property in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/property-division/marital-vs-non-marital-property/,illinois marital vs separate property,https://www.sterlinglawyers.com/illinois/property-division/marital-property/,MAPPED,Covered via both marital-property and non-marital-property pages. Covered with both marital and non-marital property pages.,
19,Phase 2,Procedural,Process Page,Cluster Support,Long-Term Spousal Support in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/spousal-support/duration/,illinois long-term spousal support,https://www.sterlinglawyers.com/illinois/spousal-support/duration/,MAPPED,Full match to existing page.,
20,Phase 2,Procedural,Process Page,Cluster Support,Guardianship of a Minor in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/guardianship/minor/,illinois guardianship of a minor,https://www.sterlinglawyers.com/illinois/guardianship/,PARTIAL,Guardianship hub appears to focus on minors; no dedicated minor-only page. Partial coverage via https://www.sterlinglawyers.com/illinois/guardianship/ — recommend dedicated page at https://www.sterlinglawyers.com/illinois/guardianship/minor/.,
21,Phase 2,Procedural,Process Page,Cluster Support,Adult Guardianship in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/guardianship/adult/,illinois adult guardianship,,GAP - MISSING,No adult guardianship content detected; guardianship hub appears focused on minors. No dedicated page found — create at https://www.sterlinglawyers.com/illinois/guardianship/adult/.,
22,Phase 2,Procedural,Process Page,Cluster Support,Challenging Paternity in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/paternity/challenging-paternity/,illinois challenging paternity,,GAP - MISSING,No paternity challenge/disestablishment page detected. No dedicated page found — create at https://www.sterlinglawyers.com/illinois/paternity/challenging-paternity/.,
23,Phase 2,Procedural,Process Page,Cluster Support,Legal Separation in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/divorce/separation/,illinois legal separation,https://www.sterlinglawyers.com/illinois/divorce/separation/,MAPPED,Full match to existing page.,
24,Phase 2,Procedural,Process Page,Cluster Support,Divorce Mediation in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/divorce/mediation/,illinois divorce mediation,https://www.sterlinglawyers.com/illinois/divorce/mediation/,MAPPED,Full match to existing page.,
25,Phase 2,Procedural,Process Page,Cluster Support,Collaborative Divorce in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/divorce/collaborative/,illinois collaborative divorce,https://www.sterlinglawyers.com/illinois/divorce/collaborative/,MAPPED,Full match to existing page.,
26,Phase 2,Procedural,Process Page,Cluster Support,Temporary Guardianship in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/guardianship/temporary/,illinois temporary guardianship,,GAP - MISSING,No temporary guardianship page detected. No dedicated page found — create at https://www.sterlinglawyers.com/illinois/guardianship/temporary/.,
27,Phase 3,Situational,Situation Page,Cluster Support,High-Conflict Divorce in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/divorce/high-conflict/,illinois high-conflict divorce,https://www.sterlinglawyers.com/illinois/divorce/litigation/,PARTIAL,Litigation / protective orders likely capture high-conflict intent. Partial coverage via https://www.sterlinglawyers.com/illinois/divorce/litigation/ — recommend dedicated page at https://www.sterlinglawyers.com/illinois/divorce/high-conflict/.,
28,Phase 3,Situational,Situation Page,Cluster Support,Relocation / Move-Away Custody Disputes in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-custody/relocation/,illinois relocation / move-away custody disputes,https://www.sterlinglawyers.com/illinois/child-custody/,PARTIAL,Relocation appears addressed within custody/parenting plan content; no dedicated relocation dispute page. Partial coverage via https://www.sterlinglawyers.com/illinois/child-custody/ — recommend dedicated page at https://www.sterlinglawyers.com/illinois/child-custody/relocation/.,
29,Phase 3,Situational,Situation Page,Cluster Support,Divorce Involving Business Ownership in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/divorce/business-ownership/,illinois divorce involving business ownership,,GAP - MISSING,No business ownership divorce page detected. No dedicated page found — create at https://www.sterlinglawyers.com/illinois/divorce/business-ownership/.,
30,Phase 3,Situational,Situation Page,Cluster Support,High-Conflict Custody in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-custody/high-conflict/,illinois high-conflict custody,https://www.sterlinglawyers.com/illinois/child-custody/parental-alienation/,PARTIAL,Covered partially via alienation/narcissist co-parenting pages. Partial coverage via https://www.sterlinglawyers.com/illinois/child-custody/parental-alienation/ — recommend dedicated page at https://www.sterlinglawyers.com/illinois/child-custody/high-conflict/.,
31,Phase 3,Situational,Situation Page,Cluster Support,Child Support Disputes After Income Changes in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-support/income-change/,illinois child support disputes after income changes,https://www.sterlinglawyers.com/illinois/child-support/modify-orders/,PARTIAL,Modification page covers income change scenarios; no dedicated income-change dispute page. Partial coverage via https://www.sterlinglawyers.com/illinois/child-support/modify-orders/ — recommend dedicated page at https://www.sterlinglawyers.com/illinois/child-support/income-change/.,
32,Phase 3,Situational,Situation Page,Cluster Support,Back Child Support / Arrears in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-support/arrears/,illinois back child support / arrears,https://www.sterlinglawyers.com/illinois/child-support/enforce-orders/,PARTIAL,Enforcement page likely touches arrears; no arrears-focused page detected. Partial coverage via https://www.sterlinglawyers.com/illinois/child-support/enforce-orders/ — recommend dedicated page at https://www.sterlinglawyers.com/illinois/child-support/arrears/.,
33,Phase 3,Situational,Situation Page,Cluster Support,Long-Term Marriage Divorce in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/divorce/long-term-marriage/,illinois long-term marriage divorce,,GAP - MISSING,No long-term marriage divorce page detected. No dedicated page found — create at https://www.sterlinglawyers.com/illinois/divorce/long-term-marriage/.,
34,Phase 3,Situational,Situation Page,Cluster Support,Business Valuation and Division in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/property-division/business-valuation/,illinois business valuation and division,,GAP - MISSING,No business valuation page detected. No dedicated page found — create at https://www.sterlinglawyers.com/illinois/property-division/business-valuation/.,
35,Phase 3,Situational,Situation Page,Cluster Support,Emergency Guardianship in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/guardianship/emergency/,illinois emergency guardianship,,GAP - MISSING,No emergency guardianship page detected. No dedicated page found — create at https://www.sterlinglawyers.com/illinois/guardianship/emergency/.,
36,Phase 3,Situational,Situation Page,Cluster Support,Parenting Time Disputes in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-custody/parenting-time-disputes/,illinois parenting time disputes,https://www.sterlinglawyers.com/illinois/child-custody/split-orders/,PARTIAL,Split/enforcement pages partially address parenting time disputes. Partial coverage via https://www.sterlinglawyers.com/illinois/child-custody/split-orders/ — recommend dedicated page at https://www.sterlinglawyers.com/illinois/child-custody/parenting-time-disputes/.,
37,Phase 3,Situational,Situation Page,Cluster Support,High-Income Spousal Support Disputes in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/spousal-support/high-income/,illinois high-income spousal support disputes,,GAP - MISSING,No high-income spousal support dispute content detected. No dedicated page found — create at https://www.sterlinglawyers.com/illinois/spousal-support/high-income/.,
38,Phase 3,Situational,Situation Page,Cluster Support,Self-Employed or Variable Income Support in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-support/self-employed-income/,illinois self-employed or variable income support,,GAP - MISSING,No self-employed/variable income support page detected. No dedicated page found — create at https://www.sterlinglawyers.com/illinois/child-support/self-employed-income/.,
39,Phase 3,Situational,Situation Page,Cluster Support,Supervised Visitation in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/child-custody/supervised-visitation/,illinois supervised visitation,,GAP - MISSING,No supervised visitation page detected. No dedicated page found — create at https://www.sterlinglawyers.com/illinois/child-custody/supervised-visitation/.,
40,Phase 3,Situational,Situation Page,Cluster Support,Hidden Assets and Financial Misconduct in Illinois | Sterling Lawyers,https://www.sterlinglawyers.com/illinois/property-division/hidden-assets/,illinois hidden assets and financial misconduct,https://www.sterlinglawyers.com/illinois/property-division/hidden-assets/,MAPPED,Full match to existing page.,
