topic_id,service_category,subservice_category,mapped_seed_keyword,mapped_page_url,supporting_topic,topic_target,primary_keyword_target,search_intent,cta_button_label,notes
TOPIC-017,Parental Rights,Mothers Rights,mother's rights in Georgia,https://tdefamilylaw.com/family-law/mothers-rights-lawyer-in-atlanta/,Protecting mothers’ rights in Georgia family law proceedings,custody support and parental-decision protections,protecting mothers’ rights in georgia family law proceedings,Service + Informational,Contact us,Week 17 | Mothers Rights
TOPIC-018,Parental Rights,Grandparents Rights,grandparents' rights in Georgia,https://tdefamilylaw.com/family-law/grandparents-rights-lawyer/,When grandparents can seek visitation or custody in Georgia,standing requirements and best-interest evidentiary burden,when grandparents can seek visitation or custody in georgia,Service + Informational,Learn more,Week 18 | Grandparents Rights
TOPIC-019,Paternity,,paternity in Georgia,https://tdefamilylaw.com/family-law/paternity-lawyer-in-atlanta/,Steps to establish legal paternity in Georgia,acknowledgment testing and court-order pathways,steps to establish legal paternity in georgia,Service + Informational,Start now,Week 19 | Paternity
TOPIC-020,Divorce,,divorce in Georgia,https://tdefamilylaw.com/family-law/divorce/,Georgia divorce filing steps and timeline checkpoints,filing sequence deadlines and procedural milestones,georgia divorce filing steps and timeline checkpoints,Service + Informational,Schedule consult,Week 20 | Divorce
TOPIC-021,Divorce,Uncontested Divorce,Uncontested Divorce in Georgia,https://tdefamilylaw.com/family-law/uncontested-divorce-lawyer/,When uncontested divorce is realistic in Georgia,eligibility conditions and agreement readiness checks,when uncontested divorce is realistic in georgia,Service + Informational,Contact us,Week 21 | Uncontested Divorce
TOPIC-022,Divorce,Contested Divorce,Contested Divorce in Georgia,https://tdefamilylaw.com/family-law/contested-divorce-lawyer/,What makes a Georgia divorce contested and how to prepare,dispute triggers evidence planning and litigation readiness,what makes a georgia divorce contested and how to prepare,Service + Informational,Start now,Week 22 | Contested Divorce
TOPIC-023,Divorce,High Net Worth Divorce,High Net Worth Divorce in Georgia,https://tdefamilylaw.com/family-law/high-asset-divorce/,Asset tracing priorities in Georgia high net worth divorce,valuation discovery and separate-vs-marital asset analysis,asset tracing priorities in georgia high net worth divorce,Service + Informational,Schedule consult,Week 23 | High Net Worth Divorce
TOPIC-024,Divorce,LGBTQ+ Divorce,LGBTQ+ Divorce in Georgia,https://tdefamilylaw.com/family-law/lgbtq-divorce/,Legal planning issues in LGBTQ+ divorce matters in Georgia,parenting property and procedural considerations for LGBTQ+ spouses,legal planning issues in lgbtq+ divorce matters in georgia,Service + Informational,Contact us,Week 24 | LGBTQ+ Divorce
TOPIC-025,Divorce,Legal Separation,Legal Separation in Georgia,https://tdefamilylaw.com/family-law/legal-separation/,When legal separation is a better fit in Georgia family law,separation-vs-divorce decision factors and legal consequences,when legal separation is a better fit in georgia family law,Service + Informational,Learn more,Week 25 | Legal Separation
TOPIC-026,Child Custody,,child custody in Georgia,https://tdefamilylaw.com/family-law/child-custody-lawyer/,Best-interest factors used in Georgia custody decisions,child-focused judicial criteria and evidentiary priorities,best-interest factors used in georgia custody decisions,Service + Informational,Contact us,Week 26 | Child Custody
TOPIC-027,Child Custody,Custody Modification,Custody Modification in Georgia,https://tdefamilylaw.com/family-law/custody-modification-lawyer/,When Georgia custody orders qualify for modification,material-change threshold and modification filing requirements,when georgia custody orders qualify for modification,Service + Informational,Start now,Week 27 | Custody Modification
TOPIC-028,Child Custody,Parental Visitation,Parental Visitation in Georgia,https://tdefamilylaw.com/family-law/parental-visitation/,How Georgia visitation schedules are structured,parenting-time framework holiday allocation and logistics,how georgia visitation schedules are structured,Service + Informational,Learn more,Week 28 | Parental Visitation
TOPIC-029,Child Custody,Visitation Modification,Visitation Modification in Georgia,https://tdefamilylaw.com/family-law/visitation-modification/,Evidence needed to modify visitation in Georgia,proof standards for parenting-time schedule changes,evidence needed to modify visitation in georgia,Service + Informational,Contact us,Week 29 | Visitation Modification
TOPIC-030,Spousal Support,,alimony in Georgia,https://tdefamilylaw.com/family-law/alimony-spousal-support/,How Georgia courts assess alimony amount and duration,financial need ability-to-pay and duration factors,how georgia courts assess alimony amount and duration,Service + Informational,Schedule consult,Week 30 | Spousal Support
TOPIC-031,Prenuptial Agreements,,prenuptial agreements Georgia,https://tdefamilylaw.com/family-law/prenuptial-agreement-atlanta/,What makes a prenup enforceable in Georgia,contract validity standards disclosure and execution rules,what makes a prenup enforceable in georgia,Service + Informational,Learn more,Week 31 | Prenuptial Agreements
TOPIC-032,Postnuptial Agreements,,postnuptial agreements Georgia,https://tdefamilylaw.com/family-law/postnuptial-agreement-lawyer/,When a Georgia postnuptial agreement should be used,marriage-stage risk planning and enforceability requirements,when a georgia postnuptial agreement should be used,Service + Informational,Contact us,Week 32 | Postnuptial Agreements
TOPIC-033,Property Division,,property division in Georgia,https://tdefamilylaw.com/family-law/property-division-enforcement/,Equitable division fundamentals for Georgia marital property,classification valuation and distribution principles,equitable division fundamentals for georgia marital property,Service + Informational,Start now,Week 33 | Property Division
TOPIC-034,Parental Rights,,parental rights in Georgia,https://tdefamilylaw.com/family-law/parental-rights/,How parental rights are established and defended in Georgia,rights allocation parental fitness and procedural safeguards,how parental rights are established and defended in georgia,Service + Informational,Contact us,Week 34 | Parental Rights
TOPIC-035,Parental Rights,Fathers Rights,father's rights in Georgia,https://tdefamilylaw.com/family-law/fathers-rights-lawyer/,Building a fathers’ rights evidence record in Georgia,documentation strategy for parenting role and decision-making participation,building a fathers’ rights evidence record in georgia,Service + Informational,Schedule consult,Week 35 | Fathers Rights
TOPIC-036,Parental Rights,Mothers Rights,mother's rights in Georgia,https://tdefamilylaw.com/family-law/mothers-rights-lawyer-in-atlanta/,Protecting mothers’ rights in Georgia family law proceedings,custody support and parental-decision protections,protecting mothers’ rights in georgia family law proceedings,Service + Informational,Contact us,Week 36 | Mothers Rights
TOPIC-037,Parental Rights,Grandparents Rights,grandparents' rights in Georgia,https://tdefamilylaw.com/family-law/grandparents-rights-lawyer/,When grandparents can seek visitation or custody in Georgia,standing requirements and best-interest evidentiary burden,when grandparents can seek visitation or custody in georgia,Service + Informational,Learn more,Week 37 | Grandparents Rights
TOPIC-038,Paternity,,paternity in Georgia,https://tdefamilylaw.com/family-law/paternity-lawyer-in-atlanta/,Steps to establish legal paternity in Georgia,acknowledgment testing and court-order pathways,steps to establish legal paternity in georgia,Service + Informational,Start now,Week 38 | Paternity
TOPIC-039,Divorce,,divorce in Georgia,https://tdefamilylaw.com/family-law/divorce/,Georgia divorce filing steps and timeline checkpoints,filing sequence deadlines and procedural milestones,georgia divorce filing steps and timeline checkpoints,Service + Informational,Schedule consult,Week 39 | Divorce
TOPIC-040,Child Custody,,child custody in Georgia,https://tdefamilylaw.com/family-law/child-custody-lawyer/,Best-interest factors used in Georgia custody decisions,child-focused judicial criteria and evidentiary priorities,best-interest factors used in georgia custody decisions,Service + Informational,Contact us,Week 40 | Child Custody
TOPIC-041,Spousal Support,,alimony in Georgia,https://tdefamilylaw.com/family-law/alimony-spousal-support/,How Georgia courts assess alimony amount and duration,financial need ability-to-pay and duration factors,how georgia courts assess alimony amount and duration,Service + Informational,Schedule consult,Week 41 | Spousal Support
TOPIC-042,Parental Rights,,parental rights in Georgia,https://tdefamilylaw.com/family-law/parental-rights/,How parental rights are established and defended in Georgia,rights allocation parental fitness and procedural safeguards,how parental rights are established and defended in georgia,Service + Informational,Contact us,Week 42 | Parental Rights
TOPIC-043,Paternity,,paternity in Georgia,https://tdefamilylaw.com/family-law/paternity-lawyer-in-atlanta/,Steps to establish legal paternity in Georgia,acknowledgment testing and court-order pathways,steps to establish legal paternity in georgia,Service + Informational,Start now,Week 43 | Paternity
TOPIC-044,Property Division,,property division in Georgia,https://tdefamilylaw.com/family-law/property-division-enforcement/,Equitable division fundamentals for Georgia marital property,classification valuation and distribution principles,equitable division fundamentals for georgia marital property,Service + Informational,Start now,Week 44 | Property Division
